[06/12/17 22:44:34] 10 Sec, Wait 
[06/12/17 22:53:35] = LOOP 15
[06/12/17 22:53:36] = LOOP 20
[06/12/17 22:53:37] = LOOP 15
[06/12/17 22:53:38] = LOOP 16
[06/12/17 22:53:39] = LOOP 20
[06/12/17 22:53:40] = LOOP 16
[06/12/17 22:53:41] = LOOP 26
[06/12/17 22:53:42] = LOOP 30
[06/12/17 22:53:43] = LOOP 22
[06/12/17 22:53:44] = LOOP 27
[06/12/17 22:53:46] = LOOP 24
[06/12/17 22:53:47] = LOOP 30
[06/12/17 22:53:48] = LOOP 21
[06/12/17 22:53:49] = LOOP 17
[06/12/17 22:53:50] = LOOP 21
[06/12/17 22:53:51] = LOOP 27
[06/12/17 22:53:52] = LOOP 23
[06/12/17 22:53:53] = LOOP 27
[06/12/17 22:53:55] = LOOP 23
[06/12/17 22:53:56] = LOOP 24
[06/12/17 22:53:57] = LOOP 16
[06/12/17 22:53:58] = LOOP 23
[06/12/17 22:53:59] = LOOP 27
[06/12/17 22:54:00] = LOOP 25
[06/12/17 22:54:02] = LOOP 24
[06/12/17 22:54:03] = LOOP 20
[06/12/17 22:54:04] = LOOP 16
[06/12/17 22:54:05] = LOOP 21
[06/12/17 22:54:06] = LOOP 25
[06/12/17 22:54:07] = LOOP 23
[06/12/17 22:54:08] = LOOP 29
[06/12/17 22:54:09] = LOOP 24
[06/12/17 22:54:10] = LOOP 25
[06/12/17 22:54:11] = LOOP 22
[06/12/17 22:54:12] = LOOP 20
[06/12/17 22:54:13] = LOOP 17
[06/12/17 22:54:14] = LOOP 16
[06/12/17 22:54:15] = LOOP 16
[06/12/17 22:54:16] = LOOP 16
[06/12/17 22:54:17] = LOOP 27
[06/12/17 22:54:18] = LOOP 21
[06/12/17 22:54:19] = LOOP 24
[06/12/17 22:54:20] = LOOP 28
[06/12/17 22:54:21] = LOOP 20
[06/12/17 22:54:22] = LOOP 19
[06/12/17 22:54:23] = LOOP 16
[06/12/17 22:54:24] = LOOP 21
[06/12/17 22:54:25] = LOOP 24
[06/12/17 22:54:26] = LOOP 16
[06/12/17 22:54:27] = LOOP 21
[06/12/17 22:54:29] = LOOP 22
[06/12/17 22:54:30] = LOOP 31
[06/12/17 22:54:31] = LOOP 21
[06/12/17 22:54:32] = LOOP 16
[06/12/17 22:54:33] = LOOP 22
[06/12/17 22:54:34] = LOOP 21
[06/12/17 22:54:35] = LOOP 16
[06/12/17 22:54:36] = LOOP 21
[06/12/17 22:54:37] = LOOP 19
[06/12/17 22:54:38] = LOOP 24
[06/12/17 22:54:39] = LOOP 23
[06/12/17 22:54:40] = LOOP 18
[06/12/17 22:54:41] = LOOP 23
[06/12/17 22:54:42] = LOOP 20
[06/12/17 22:54:43] = LOOP 26
[06/12/17 22:54:44] = LOOP 27
[06/12/17 22:54:45] = LOOP 26
[06/12/17 22:54:46] = LOOP 22
[06/12/17 22:54:47] = LOOP 16
[06/12/17 22:54:48] = LOOP 20
[06/12/17 22:54:49] = LOOP 17
[06/12/17 22:54:51] = LOOP 21
[06/12/17 22:54:52] = LOOP 20
[06/12/17 22:54:53] = LOOP 16
[06/12/17 22:54:54] = LOOP 25
[06/12/17 22:54:55] = LOOP 19
[06/12/17 22:54:56] = LOOP 19
[06/12/17 22:54:57] = LOOP 19
[06/12/17 22:54:58] = LOOP 17
[06/12/17 22:54:59] = LOOP 16
[06/12/17 22:55:00] = LOOP 24
[06/12/17 22:55:01] = LOOP 24
[06/12/17 22:55:02] = LOOP 20
[06/12/17 22:55:03] = LOOP 24
[06/12/17 22:55:04] = LOOP 29
[06/12/17 22:55:05] = LOOP 22
[06/12/17 22:55:06] = LOOP 25
[06/12/17 22:55:07] = LOOP 21
[06/12/17 22:55:08] = LOOP 17
[06/12/17 22:55:09] = LOOP 19
[06/12/17 22:55:10] = LOOP 24
[06/12/17 22:55:12] = LOOP 25
[06/12/17 22:55:13] = LOOP 22
[06/12/17 22:55:14] = LOOP 19
[06/12/17 22:55:15] = LOOP 18
[06/12/17 22:55:16] = LOOP 19
[06/12/17 22:55:17] = LOOP 16
[06/12/17 22:55:18] = LOOP 23
[06/12/17 22:55:19] = LOOP 25
[06/12/17 22:55:20] = LOOP 18
[06/12/17 22:55:21] = LOOP 22
[06/12/17 22:55:22] = LOOP 20
[06/12/17 22:55:23] = LOOP 21
[06/12/17 22:55:24] = LOOP 16
[06/12/17 22:55:25] = LOOP 15
[06/12/17 22:55:26] = LOOP 19
[06/12/17 22:55:27] = LOOP 19
[06/12/17 22:55:28] = LOOP 16
[06/12/17 22:55:29] = LOOP 16
[06/12/17 22:55:30] = LOOP 22
[06/12/17 22:55:31] = LOOP 18
